date,equity,cash,market_value,position_count
2023-09-12,1077564.034968241,34775.684968240945,1042788.35,23
2023-09-13,1079639.8806239709,53174.26062397097,1026465.62,24
2023-09-14,1081779.671483971,7929.971483970985,1073849.7,26
2023-09-15,1077885.488112071,93278.11811207098,984607.37,24
2023-09-18,1075900.7318286537,94618.19182865352,981282.5400000002,26
2023-09-19,1078073.1803261836,23199.81032618352,1054873.37,26
2023-09-20,1073933.8368419185,42674.55684191853,1031259.28,24
2023-09-21,1080147.193793171,44748.79379317105,1035398.4,25
2023-09-22,1080053.6355329084,71584.38553290855,1008469.2499999999,26
2023-09-25,1074800.4667874086,104833.25678740852,969967.21,25
2023-09-26,1075368.7006186836,191394.4806186836,883974.22,24
2023-09-27,1080161.0027655435,31765.872765543576,1048395.1299999999,25
2023-09-28,1076810.7787417434,41304.10874174358,1035506.6699999998,26
2023-09-29,1084899.5255884612,63343.99558846111,1021555.5300000001,26
2023-10-02,1086453.6872184614,9511.897218461123,1076941.7900000003,27
2023-10-03,1084855.148401986,38317.15840198612,1046537.99,27
2023-10-04,1087932.1588458237,41395.2588458236,1046536.9,29
2023-10-05,1085365.570567974,77585.68056797358,1007779.8900000002,30
2023-10-06,1087820.421368986,114563.5013689861,973256.9199999998,31
2023-10-09,1090144.4876265058,12705.797626506088,1077438.6899999997,30
2023-10-10,1091222.4957065063,5206.425706506087,1086016.0700000003,30
2023-10-11,1099662.5242237558,8212.644223756088,1091449.8799999997,29
2023-10-12,1096329.389025196,25853.739025196086,1070475.65,28
2023-10-13,1097902.2554920085,39695.4354920086,1058206.8199999998,29
2023-10-16,1087199.1170184962,63443.40701849611,1023755.7100000001,29
2023-10-17,1084775.522405591,79625.07240559113,1005150.45,28
2023-10-18,1075678.817289934,57167.74728993364,1018511.0700000004,27
2023-10-19,1080358.0949305687,354916.8149305686,725441.2800000001,26
2023-10-20,1079412.6153172639,36000.155317263736,1043412.4600000001,29
2023-10-23,1079947.8267772638,5311.006777263738,1074636.82,31
2023-10-24,1081109.3313878437,21045.061387843736,1060064.27,30
2023-10-25,1079911.248354594,10989.038354593737,1068922.2100000002,31
2023-10-26,1079460.6056675534,41527.505667553734,1037933.0999999996,30
2023-10-27,1088100.5889301936,78445.55893019373,1009655.0299999999,28
2023-10-30,1089821.3994997037,25651.409499703725,1064169.99,28
2023-10-31,1098679.1440514638,48819.984051463725,1049859.1600000001,28
2023-11-01,1096036.948970276,97806.23897027622,998230.7099999997,26
2023-11-02,1102016.4861091238,71634.10610912374,1030382.38,25
2023-11-03,1104767.1561002235,59703.66610022377,1045063.4899999999,25
2023-11-06,1101208.0341166188,182133.19411661878,919074.84,22
2023-11-07,1101619.4311564316,67881.6811564313,1033737.7500000002,24
2023-11-08,1088328.586744581,87428.20674458129,1000900.3799999998,23
2023-11-09,1090190.4438393312,51507.873839331296,1038682.5699999998,24
2023-11-10,1095116.7578144912,183048.5378144913,912068.22,22
2023-11-13,1095475.4035344913,15166.593534491341,1080308.81,25
2023-11-14,1092847.453795841,49937.32379584135,1042910.1299999997,25
2023-11-15,1085150.8213082915,33010.13130829138,1052140.6900000002,27
2023-11-16,1086738.1976972937,70822.04769729389,1015916.1499999998,25
2023-11-17,1078170.9284772938,10222.338477293884,1067948.5899999999,27
2023-11-20,1083988.823165294,119747.29316529389,964241.53,25
2023-11-21,1084423.485293519,157525.7252935189,926897.76,24
2023-11-22,1084615.608133519,13404.6381335189,1071210.9700000002,26
2023-11-23,1085272.0239235188,6238.303923518899,1079033.72,27
2023-11-24,1084023.853935184,39143.6839351839,1044880.1700000002,25
2023-11-27,1080543.6004293337,128043.34042933388,952500.2599999999,27
2023-11-28,1076898.013792909,111188.72379290893,965709.2900000002,26
2023-11-29,1077164.184974024,39078.01497402393,1038086.1700000002,24
2023-11-30,1072541.8794437242,12108.23944372393,1060433.6400000001,24
2023-12-01,1079464.794566439,176964.91456643894,902499.88,24
2023-12-04,1087947.4129164391,13800.31291643895,1074147.1,26
2023-12-05,1085690.7174864386,5336.4674864389535,1080354.2499999995,27
2023-12-06,1089406.026854259,52586.976854258945,1036819.0499999999,25
2023-12-07,1079934.4561666837,64543.32616668397,1015391.1299999998,26
2023-12-08,1084319.7715157843,33477.90151578398,1050841.8700000003,26
2023-12-11,1077539.585466884,148360.49546688396,929179.0900000002,25
2023-12-12,1063451.0913695043,14703.831369503992,1048747.2600000002,25
2023-12-13,1066302.1802762891,174851.220276289,891450.9600000002,22
2023-12-14,1060347.778418759,80280.988418759,980066.7899999999,24
2023-12-15,1057589.7702650342,54313.510265034034,1003276.2600000001,27
